city_id,region_id,name_ar,name_en
73,7,جريداء,Jurayda
74,7,تيماء,Tayma'
75,7,العسافية,Al Assafiyah
76,3,عردة,'ardah
77,7,الكتيب,Al Kutaib
78,7,بئر فجر,Bi'r Fajr
79,7,القليبة,Al Qalibah
80,4,عنيزة,Unayzah
81,5,الرافعية,Ar Raf'iyah
82,5,الكبريت,Al Kabarit
83,5,رغوة,Raghwah
84,5,حمى,Hamma
85,5,الزبر,Az Zabr
86,5,السفانية,As Saffaniyah
87,5,المحوى,Al Mahawa
88,5,أم غور,Umm Ghawr
89,5,قرية العليا,Qaryat Al 'ulya
90,5,الرفيعة,Ar Rafi'ah
91,5,جرارة,Jarrarah
92,5,قرية,Qurayyah
93,5,البويبيات,Al Buwaybiyat
94,5,السعيرة,As Su'ayyirah
95,5,مناخ,Manakh
96,5,الحيرا,Al Hayra
97,5,ام الشفلح,Umm Ash Shifallah
98,5,اللهابة,Al Lahabah
99,5,الفريدة,Al Farridah
100,5,الشامية,Ash Shamiyah
101,1,العيطلية,Al 'aytaliyah
102,5,سحمة,Sihmah
103,5,الشملول / ام عقلا,Ash Shamlul (Umm Aqla)
104,5,ام الهوشات,Umm Al Hawshat
105,5,الشيط,Ash Shayyit
106,5,العاذرية,Al 'adhiriyah
107,5,الشيحية,Ash Shihiyah
108,1,حزوة / العمانية,Hizwah (Al Umaniyah)
109,5,القرعاء,Al Qar'a'
110,5,اللصافة,Al Lisafah
111,5,النقيرة,An Nuqayrah
112,5,هجرة أولاد حثلين,Hijrat Awlad Hithlin
113,5,الجبيل,Al Jubail
114,5,فرزان,Farzan
115,5,النعيرية,An Nu'ayriyah
116,5,ام ضليع,Umm Dulay'
117,5,مليجة,Mulayjah
118,5,الصرار,As Sarrar
119,5,حنيذ,Hanidh
120,5,مغطي,Mughati
121,5,شفية,Shifiyah
122,5,عتيق,Utayyiq
123,5,الحسي,Al Husayy
124,5,ثاج,Thaj
125,5,الحناة,Al Hinnah
126,5,الكهفة,Al Kahafah
127,5,الصحاف,As Sahaf
128,5,العيينة,Al 'uyaynah
129,5,القليب,Al Qulayyib
130,5,الونان,Al Wannan
131,5,غنوى,Ghanwa
132,5,الزغين,Az Zughayn
133,5,نطاع,Nita'
134,5,ام الحمام,Umm Al Hamam
135,5,ام ربيعة,Umm Rubay'ah
136,5,ابو حدرية,Abu Hadriyah
137,5,منيفة,Munifah
138,1,الافلاج,Al Aflaj
139,4,خيطان,Khaitan
140,1,الوسيعة,Al Wasi'ah
141,1,تمرية,Tamriyah
142,1,ابو خسيفاء,Abu Khusayfa
143,1,النخيل,An Nakhil
144,1,السحيمي,As Suhaymi
145,1,مصدة,Musiddah
146,1,أم سديرة,Umm Sudayrah
147,1,التنهاة,At Tanhah
148,1,قري التويم,Qiri At Tuwaym
149,1,الشحمة,Ash Shahmah
150,1,الودي,Al Wudayy
151,1,جوي,Juwayy
152,1,مقبلة,Muqbilah
153,1,حرمة,Harmah
154,7,المعظم,Al Ma'dham
155,1,جراب,Jirab
156,1,العقلة,Al Uqlah
157,1,النغيق,An Nughayq
158,1,حويمضة,Huwaimidah
159,1,البتيراء,Al Butaira'
160,1,المشاش,Al Mishash
161,1,الفروثي,Al Furuthi
162,1,جلاجل,Jalajil
163,1,الدخيلة,Ad Dakhilah
164,1,الحصون,Al Husun
165,1,حوطة سدير,Hawtat Sudair
166,1,روضة سدير,Rawdhat Sudair
167,1,تمير,Tumair
168,1,الارطاوية,Al Artawiyah
169,1,العمار,Al 'amar
170,1,الخيس,Al Khis
171,1,المعشبة,Al Ma'ashbah
172,1,التويم,At Tuwaym
173,1,الخطامة,Al Khutamah
174,1,الرويضة,Ar Ruwaydah
175,1,الشعب,Ash Shi'b
176,1,عشيرة سدير,Asharat Sudair
177,1,الجنيفي,Al Junayfi
178,1,العطار,Al 'attar
179,1,ام الجماجم,Umm Al Jamajim
180,1,مشلح,Mishlah
181,1,ام رجوم,Umm Rujum
182,1,الرويضة,Ar Ruwaidah
183,1,الفيصلية,Al Faisaliyah
184,1,بوضاء,Bawda'
185,1,الحائر,Al Hair
186,1,وشي,Wushayy
187,1,عودة سدير,'awdat Sudayr
188,1,مبايض,Mubayid
189,1,القاعية,Al Qa'iyah
190,3,دبدبة فضلاء,Dibdibbat Fudala
191,3,الحجب,Al Hajab
192,3,الضلفة,Adh Dhalfah
193,3,أبو طاقة,Abu Taqah
194,3,العين الجديدة,Al 'ayn Al Jadidah
195,3,القعرة,Al Qi'arah
196,3,أم زرب,Umm Zarb
197,3,هدية,Hadiyah
198,3,القعرة,Al Qa'rah
199,3,العلا,Al Ula
200,7,الجهراء,Al Jahara
201,3,رحيب,Ruhayb
202,3,شلال,Shalal
203,3,ضاعا,Da'a
204,3,جيدة,Jaydah
205,3,قلبان عشرة,Qulban 'isharah
206,3,النجيل,An Najil
207,3,الرزيقية,Ar Ruzayqiyah
208,3,الحميدية,Al Hamidiyah
209,3,صدر,Sadr
210,3,مغيراء,Mughayra'
211,3,قصيب ابو سيال,Qusayb Abu Siyal
212,3,ابو اراكة,Abu Arakah
213,3,مدائن الصالح,Madain As Salih
214,3,عورش,Awarsh
215,3,النشيفة,An Nushayfah
216,3,الزباير,Az Zubayir
217,3,الضليعة,Ad Dulay'ah
218,3,متان العريقة,Mitan Al 'urayqah
219,3,الابرق,Al Abraq
220,3,اميرة,Amirah
221,3,الجديدة,Al Jadidah
222,3,كتيفة مصادر,Kutayfat Masadir
223,7,الراس,Ar Ras
224,7,البيت,Al Bayt
225,7,بئر بحار,Bir Bahar
226,7,سبحان,Sabhan
227,5,الظهران,Dhahran
228,7,أم الريح,Umm Ar Rih
229,7,حرم,Haram
230,7,عكوز,'akuz
231,3,السديد,As Sudayd
232,7,الحفيرة,Al Hufayrah
233,7,الوجه,Al Wajh
234,7,النابع,An Nabi'
235,7,عنتر,'antar
236,7,المنجور,Al Manjur
237,7,ابا القزاز,Aba Al Qizaz
238,7,بداء,Bada'
239,7,خرباء,Khurba'
240,7,الكر,Al Kurr
241,5,برق الأسيدية,Burq Al Usaydiyah
242,5,الفاضلي,Al Fadili
243,5,بقيق,Buqayq
244,5,قرية,Qurayyah
245,5,ظلوم,Dhulum
246,5,عين دار الجديده,New Ain Dar
247,5,عين دار القديمة,Old Ain Dar
248,5,علاة,Allat
249,5,فودة,Fudah
250,5,الكدادية,Al Kidadiyah
251,5,يكرب,Yakrub
252,5,الجابرية,Al Jabiriyah
253,5,صلاصل,Salasil
254,5,شهيلاء,Shuhayla'
255,5,عصيفرات,Usayfirat
256,6,طريب,Tarib
257,5,الدغيمية,Ad Dughaymiyah
258,1,الروضة,Ar Rawdah
259,1,المنسف,Al Mansaf
260,1,منسية الغربية,Mansiyah Al Gharbiyah
261,1,عشيرة,'ushayrah
262,1,الفيصلية,Al Faysaliyah
263,1,الثوير,Ath Thuwayr
264,1,زليغف,Zulayghif
265,1,مزارع الاثلة,Mazari' Al Athlah
266,1,مزارع الرحية,Mazari' Ar Ruhayyah
267,1,قصيباء,Qusayba
268,1,مزرعة بيضاء نثيل,Mazra'at Bayda Nuthayl
269,1,امارة المستوي,Imarat Al Mistawi
270,1,الزلفي,Az Zulfi
271,1,سمنان,Samnan
272,1,علقة,'iliqah
273,3,العين,Al 'ayn
274,3,المضاويح,Al Mudhawih
275,3,ابا البقر,Aba Al Baqar
276,3,الحرضة,Al Hardhah
277,3,الضرس,Adh Dhars
278,3,الخريبة,Al Khoraibah
279,3,العرائد,Al 'araid
280,3,غمرة,Ghamrah
281,3,العقيلة,Al 'uqilah
282,3,العدلة,Al 'adlah
283,3,الديسة,Ad Disah
284,3,السليمي,As Sulaymi
285,3,الجرف,Al Jarf
286,3,الهذلولي,Al Hadhluli
287,3,جدعاء,Jad'a
288,3,خيبر,Khaybar
289,3,اللحن,Al Lihin
290,3,العشاش,Al 'ishash
291,3,الصلصلة,As Silsilah
292,3,الثمد,Al Thamad
293,3,العينية,Al Uyaynah
294,1,رماح,Rumah
295,1,حفر العتك,Hafr Al Atk
296,1,المزيرع,Al Muzayri'
297,1,شوية,Shawyah
298,1,الحفنة,Al Hifnah
299,1,الغيلانة,Al Ghaylanah
300,1,الرمحية,Ar Rumhiyah
301,5,الراكة,Ar Rakah
302,7,الخريطة,Al Khuraytah
303,5,الثقبة,Ath Thuqbah
304,5,العزيزية,Al 'aziziyah
305,7,شدوا,Shadwa
306,1,الغاط,Al Ghat
307,1,مليح,Mulayh
308,7,الشبعان,Ash Shaban
309,7,الدقم,Ad Duqum
310,7,القرص,Al Qars
311,7,حراض,Hirad
312,7,الشبحة,Ash Shibahah
313,7,روضة الاغيدرات,Rawdat Al Aghaydirat
314,7,الخضراء الجديدة,Al Khadra Al Jadidah
315,7,سمور,Samur
316,7,الرويضات,Al Ruwaydat
317,7,المهدرة,Al Mahadrah
318,7,بقيلة,Buqaylah
319,7,النعيلة,An Nu'aylah
320,7,الزغلية,Az Zaghliyah
321,7,توله,Tuwalah
322,7,العين,Al 'ayn
323,7,املج,Umluj
324,7,فم شثاث,Famm Shithath
325,7,الحرة,Al Harrah
326,7,العمبجة,Al 'ambijah
327,7,الشدخ,Ash Shidakh
328,3,المرامية,Al Maramiyah
329,1,مزارع البدائع,Mazari' Al Badai'
330,1,الخاتلة,Al Khatilah
331,1,البلاد الوسطى,Al Bilad Al Wusta
332,1,العليا,Al 'ulya
333,1,الحسيان,Al Hisyan
334,1,الضلعي,Ad Dul 'ayi
335,1,تنيبيكة,Tunaibikah
336,1,عبلة,'abla
337,1,عبلية,'abliyah
338,1,هجرة السلات,Hijrat As Silat
339,1,ام طلحة,Umm Talhah
340,1,معرج قليشة,Mua'rij Qulaishah
341,1,داغان,Daghan
342,1,الجرفية,Al Jurfiyah
343,1,حشاشة,Hashashah
344,1,المردمة,Al Mardamah
345,1,لهدة الصياهد,Lahdat As Sayahid
346,1,البرزاء,Al Barza
347,1,الفيضة,Al Faydah
348,1,الخالدية,Al Khaldiyah
349,1,الحمادة,Al Hamadah
350,1,القرارة,Al Qararah
351,3,الحمنة,Al Hamnah
352,3,أم الغيران,Umm Al Ghiran
353,3,المندسة,Al Mundassah
354,3,السليمية,As Silaymiyah
355,3,البراقية,Al Barraqiyah
356,3,السراقي,As Siraqi
357,3,آبار دحمولة,Abar Dahmulah
358,3,القويعية,Al Quwayi'yah
359,3,بدائع الهراسين,Badai' Al Harasin
360,3,مهد الذهب,Mahd Adh Dhahab
361,3,صفينة,Sufaynah
362,3,الرقابية,Ar Riqabiyah
363,3,الصلحانية,As Sulhaniyah
364,3,الغاشية,Al Ghashiyah
365,3,الاصيحر,Al Asayhir
366,3,السويرقية,As Suwayriqiyah
367,3,ثرب,Tharb
368,3,حاذة,Hadhah
369,3,العمق,Al 'umaq
370,3,الصعبية,As Sa'biyah
371,2,القعرة,Al Qa'arah
372,2,الجحفة,Al Juhfah
373,3,راين,Rayin
374,2,الزويراء,Az Zuwayra
375,2,النويبع,Al Nuwaybi'
376,2,العقلة,Al 'uqlah
377,2,رابغ,Rabigh
378,2,مستورة,Masturah
379,2,الابواء,Al Abwa'
380,2,شلوة,Shuluwah
381,2,كلية,Kilayyah
382,2,حجر,Hajur
383,2,صعبر,Sa'bar
384,2,التنضبية,At Tandabiyah
385,2,قويزة,Quwayzah
386,2,النزة,An Nazzah
387,2,الشعبة,Ash Shu'bah
388,2,الصدر,As Sadr
389,2,المغاربة,Al Magharibah
390,2,الكويسية,Al Kuwaysiyah
391,2,ابو حليفاء,Abu Hulayfa
392,2,محجوبة,Mahjubah
393,1,بئر الفيضة,Bir Al Faydah
394,1,الهميج,Al Humayj
395,1,الذيبية,Adh Dhibiyah
396,1,خضراء,Khadra
397,1,البدايع,Al Badayi'
398,1,بطاحة,Battahah
399,1,الصقرة,As Saqrah
400,1,وبرة,Wabrah
401,1,أبو عشرة,Abu 'isharah
402,1,المعلق,Al Mu'allaq
403,1,الرميثي,Ar Rumaythi
404,1,الهرانية,Al Hiraniyah
405,4,الرضم,Ar Radum
406,1,الثعل,Ath Tha'al
407,1,الانسيات,Al Unsiyat
408,1,فرعة الرميثي,Far'at Ar Rumaythi
409,1,البطين,Al Butin
410,1,مشرفة,Mushrifah
411,1,بديدة,Bidaydah
412,1,المجهلية,Al Mijhiliyah
413,1,البحرة,Al Baharah
414,1,بديعة,Buday'ah
415,1,الجثوم,Al Juthum
416,1,الشويطن,Ash Shuwaytin
417,1,المحامة,Al Mahamah
418,1,عفيف,Afif
419,1,ابرقية,Abraqiyah
420,1,الجمانية,Al Jammaniyah
421,1,الاشعرية,Al Ashariyah
422,1,الخضارة,Al Khadarah
423,1,الصالحية,As Salihiyah
424,1,بدائع العضيان,Bidai' Al Idyan
425,1,أم أرطى,Umm Arta
426,1,المكلاة,Al Maklah
427,1,عشيران,'ushayran
428,1,بعيثران,Bu'aythiran
429,1,أم قصور,Umm Qusur
430,1,عبدة,'abdah
431,1,خريصة,Khuraysah
432,1,عجابة,'ajabah
433,1,المديفع,Al Mudayfi'
434,1,القدراوية,Al Qidrawiyah
435,8,أوبيرة,Ubayrah
436,1,أم أثلة,Umm Athlah
437,1,الأخضر,Al Akhdar
438,1,مطيعة,Muti'ah
439,1,المدارة,Al Madarah
440,1,عسيلة,'usaylah
441,1,الحلوة,Al Hilwah
442,1,الدبيجة,Ad Dubayjah
443,1,ثادق,Thadiq
444,1,الروبضة / رغبة,Ar Rawbidah / Raghabah
445,1,رويضة السهول,Rawdat As Suhul
446,1,مشاش السهول,Mishash As Suhul
447,1,الحسي,Al Hisi
448,1,الصفرات,As Sufarat
449,1,البير,Al Bir
450,1,رويغب,Ruwayghib
451,3,النجف,An Najf
452,3,السطيح,As Sutayh
453,3,الخيمة,Al Khaymah
454,5,سيهات,Sayhat
455,3,تفيدة,Tafidah
456,5,تاروت,Tarut
457,3,ندياء,Nadya
458,3,مشرفة,Mishrifah
459,3,دوينه,Duwayyinah
460,3,عدن,'adan
461,3,الأحمر,Al Ahmar
462,3,المثلث,Al Muthallath
463,3,الفرع,Al Fara
464,3,البقاع,Al Biqa'
465,3,النجيل,An Nujayl
466,3,البثنة,Al Bathnah
467,3,خيف حسين,Khayf Husayn
468,3,البقارية,Al Baqqariyah
469,3,الفقعلي,Al Fuq'ali
470,3,المشريف,Al Mushayrif
471,3,أم المسن,Umm Al Misin
472,3,البديع,Al Budayyi'
473,3,الدارة,Ad Darah
474,3,القري,Al Quray
475,3,السليم,As Sulaym
476,3,اللثامة,Al Luthamah
477,3,المقنع,Al Muqanna'
478,3,ضفيان,Dufyan
479,3,عضاد,'adad
480,3,العدوة,Al 'idwah
481,3,النباة,An Nabah
482,3,البريدي,Al Baridi
483,3,ينبع,Yanbu
484,3,القراصة,Al Qarrasah
485,3,العيص,Al 'is
486,3,الجابرية,Al Jabiriyah
487,3,ينبع النخل,Yanbu' An Nakhil
488,3,جراجر,Jarajir
489,3,ترعة,Tir'ah
490,3,المربع,Al Murabba'
491,3,نبط,Nabt
492,3,السليلة,As Salilah
493,1,القرائن,Al Qarain
494,1,الشكيرة,Ash Shukayyrah
495,1,هجرة المغر,Hijrat Al Mughur
496,1,مزارع المحتجبة,Mazari' Al Muhtajibah
497,1,الغرابة,Al Ghurabah
498,1,القاعية,Al Qa'iyah
499,1,غسلة,Ghuslah
500,1,شقراء,Shaqra'
501,1,الهفوف,Al Hafuf
502,1,حلوان,Halwan
503,1,حصرة,Hasarah
504,1,الثمامية,Ath Thumamiyah
505,1,لبيدة,Lubaydah
506,1,العضيانية,Al 'idayyaniyah
507,1,عجلة,'ajlah
508,1,سعدة,Sa'dah
509,1,جفن ضب,Jafn Dabb
510,1,دلقان,Dalqan
511,1,أم السباع,Umm As Siba'
512,1,الجله الأعلى,Al Jilh Al A'la
513,1,الخفق الجنوبي,Al Khafaq Al Janubi
514,1,الدحوة,Ad Dihwah
515,1,الخفق القديم,Al Khafaq Al Qadim
516,1,الشرمية,Ash Sharmiyah
517,1,مراغان,Maraghan
518,1,الفيضة,Al Faydah
519,1,الجروية,Al Jarwiyah
520,1,العوشزية,Al 'awshaziyah
521,1,أبو رجوم,Abu Rijum
522,1,القلتة,Al Qaltah
523,1,لعلع,Li'li'
524,1,الغريري,Al Ghurayri
525,1,الخنقة,Al Khunqah
526,1,النسق القديم,An Nasaq Al Qadim
527,1,وثيلان,Wuthaylan
528,1,بيضاء نثيل,Bayda Nthayl
529,1,أم الدباء,Umm Ad Diba
530,1,الأمار,Al Amar
531,1,عسيلان,'usaylan
532,1,السدرية,As Sidriyah
533,1,أم الشبرم,Umm Ash Shubrum
534,1,الحجاجي,Al Hijjaji
535,1,الغبياء,Al Ghubayya
536,1,الفيضة,Al Faydah
537,1,أبو حميض,Abu Humayd
538,1,النبيبيع,An Nubaybi'
539,1,النباع,An Naba'
540,1,الملقى,Al Malqa
541,1,حجيلاء,Hujayla
542,1,العبد,Al 'abd
543,1,أم الجثجاث,Umm Al Jithjath
544,1,أم جفر,Umm Jafr
545,1,الخلفية,Al Khalfiyah
546,2,الجدعان,Al Jidh'an
547,2,زنقاحة,Zinqahah
548,2,العمشان,Al 'umshan
549,2,الجذية,Al Judhayyah
550,2,العقدة,Al 'uqdah
551,2,القرا,Al Qara
552,2,الفطيمة,Al Futaymah
553,2,المحارزة,Al Maharizah
554,2,الحمة,Al Hamah
555,2,صيادة,Sayyadah
556,2,الدفينة,Ad Difinah
557,2,الوهط,Al Wahat
558,2,الغنم,Al Ghunnam
559,2,ابو غيل,Abu Ghayl
560,2,ام البكار,Umm Al Bikar
561,2,الفعور,Al Fu'ur
562,2,الصخيرة,As Sukhayrah
563,2,السريح,As Sirayh
564,2,الملعب,Al Mal'ab
565,2,الغمير,Al Ghimayr
566,2,الوزير,Al Wazir
567,2,ثمالة,Thumalah
568,2,النصبة,An Nusbah
569,2,عباسة,'abbasah
570,2,الحفيرة,Al Hifayrah
571,2,غرابة,Ghirabah
572,2,الحلقة,Al Halaqah
573,2,الرخيلة,Ar Rikhaylah
574,1,القصب,Al Qasab
575,1,المشاش,Al Mishash
576,1,الصوح,As Suh
577,1,اشيقر,Ushayqir
578,1,ام طليحة,Umm Tulaihah
579,1,الداهنة,Ad Dahinah
580,1,الحريق,Al Hurayyiq
581,1,الجريفة,Al Juraifah
582,1,الوقف,Al Waqf
583,1,العلوة,Al 'uluwah
584,1,فرحة,Farhah
585,1,عروى,'arawa
586,1,فردة,Fardah
587,1,مويسل,Muwaysil
588,1,الشاة,Ash Shat
589,1,الفيضة,Al Faydah
590,1,مشرف,Mushrif
591,1,بدائع سويقة,Bidai Suwayqah
592,1,الصلبية,As Sulubiyah
593,1,مشرفة,Mishrifah
594,1,مزارع الروضة,Mazari' Ar Rawdah
595,4,هرمولة,Hurmulah
596,4,فيضة ابان الاحمر,Faidat Aban Alahmar
597,4,الدارة,Ad Darah
598,1,مطربة,Mutribah
599,1,رغلة,Raghlah
600,1,مشرفة,Mushrifah
601,1,ضبة,Dabbah
602,1,العطاوي,Al 'atawi
603,1,الحفائر,Al Hafair
604,1,مزارع طينان,Mazari' Tinan
605,1,منيفة,Munifah
606,1,قويعان,Quway'an
607,1,الحنابج,Al Hanabij
608,1,الشفلحية,Ash Shifallahiyah
609,1,روضة وثيلان,Rawdat Wuthaylan
610,1,ابو ركب,Abu Rukab
611,1,الخالدية,Al Khalidiyah
612,1,الحفنة,Al Hifnah
613,1,أبو عرينة,Abu Uraynah
614,1,الفرعة,Al Far'ah
615,1,بحار الجديد,Bihar Al Jadid
616,1,حميان,Hamayyan
617,6,الجربوعية,Al Jarboeyyah
618,1,العقلة,Al 'uqlah
619,1,نميلين,Numaileen
620,1,الدهاسية,Ad Dahasiyah
621,1,المصلوم,Al Maslum
622,1,سعدة,Sa'adah
623,1,أم رضمة,Umm Rudmah
624,1,السنارية,As Sinnariyah
625,1,الديرية,Ad Dirirah
626,1,المغزل,Al Mighzal
627,1,جوباح,Jubah
628,1,القرنة,Al Qurnah
629,1,وثيلان,Wuthaylan
630,1,عين الصوينع,'ayn As Suwayni'
631,1,الأرطاوي,Al Artawi
632,1,الثندوة,Ath Thiduwah
633,1,أبو جلال,Abu Jilal
634,1,جنوب البرود,Janub Al Burud
635,1,غرب البرود,Gharb Al Burud
636,1,الريشية,Ar Rishiyah
637,1,عبلة,'ablah
638,1,مزرعة البيضة,Mazra'at Al Bidah
639,1,السليسية,As Sulaysiyah
640,1,مزرعة سليسان,Mazra'at Sulaysan
641,1,العويجاء,Al 'uwayja
642,1,العدوة,Al 'udwah
643,1,الجديدة,Al Jadidah
644,1,بدائع الهمجة,Bada'i Al Hamjah
645,1,فيضة القوازين,Faydat Al Quwazin
646,1,مزارع مصيقرة,Mazari' Musayqirat
647,1,الفيحاء,Al Fayha
648,1,الدسمة,Ad Dasmah
649,1,صفاقة,Saffaqah
650,1,قبيعة,Qubay'ah
651,1,الشبرمية,Ash Shubrumiyah
652,1,كويكبة,Kuwaykibah
653,8,الرعيلة,Al Raeelah
654,1,أم طليحة,Umm Tulayhah
655,1,الرقيبة,Ar Raqibah
656,1,بدع الصعكي,Bid' As Si'aki
657,1,سلطانة,Sultanah
658,1,عبلة,'ablah
659,1,الملينية,Al Milayyiniyah
660,1,البديعة,Al Bidi'ah
661,1,روضة جهام,Rawdat Jaham
662,1,مزارع الجديدة,Mazari' Al Jadidah
663,1,منيفة المغايرة,Munifat Al Maghayirah
664,1,الدرعية,Ad Dir'iyah
665,1,الرميحة,Ar Rumayhah
666,1,حسو الحيد,Hasu Al Hayd
667,1,حديجة,Hudayjah
668,1,الدارة,Ad Darah
669,1,الدوادمي,Ad Duwadimi
670,1,الدمثي,Ad Damthi
671,1,أوضاخ,Udakh
672,1,كبشان,Kabshan
673,1,حديجة,Hudayjah
674,1,القرارة,Al Qararah
675,1,العوشزية,Al Awshaziyah
676,1,الجمش,Al Jimsh
677,1,نجخ,Najkh
678,1,جريسة,Juraysah
679,1,ام العثاكل,Umm Al 'athakil
680,1,عرجاء,Arja'
681,1,أم سليم,Umm Sulaym
682,1,ساجر,Sajir
683,1,الرفيعة,Ar Rafi'ah
684,1,نفي,Nifi
685,1,مصدة,Musiddah
686,1,الخفيفية,Al Khufayfiyah
687,1,عسيلة,'usaylah
688,1,أرطاوي الرقاص,Artawi Ar Raqqas
689,1,عشيران,'ushayran
690,1,مزرعة الخفيسة,Mazra'at Al Khufaysah
691,1,عين القنور,'ayn Al Qannur
692,1,التسرير,At Tasrir
693,1,الاثلة,Al Athlah
694,1,عريفيجان,'urayfijan
695,1,السكران,As Sakran
696,1,جفن,Jifin
697,1,البرود,Al Burud
698,1,جفنا,Jifana
699,1,الصالحية,As Salhiyah
700,1,العاذرية,Al 'adhiriyah
701,1,البجادية,Al Bijadiyah
702,1,الرفائع,Ar Rafai'
703,1,جهام ابو عشر,Jaham Abu 'ishar
704,1,مشرفة,Mushrifah
705,1,الحزيمية,Al Huzaymiyah
706,1,خف,Khuff
707,1,المحمدية,Al Muhammadiyah
708,1,الحفيرة,Al Hufayyirah
709,1,ماسل,Masal
710,1,القاعية,Al Qa'iyah
711,1,منيفة,Munifah
712,1,رضوى,Radwa
713,1,ارطاوي حليت,Artawi Hillit
714,1,عواضة,'awwadah
715,1,شرارة,Shararah
716,1,الحزم,Al Hazim
717,1,صقرة,Saqrah
718,1,العقيشية,Al Uqayshiyah
719,1,القرين,Al Qurayn
720,1,عقلة الغويري,Uqlat Al Uwayri
721,1,ام زموع,Umm Zumu'
722,1,عين البراحة,'ayn Al Barahah
723,1,مغيراء,Mughayra'
724,1,الضحوي,Ad Dahawi
725,1,عسيلة,'usaylah
726,1,المغيب,Al Maghib
727,1,فيضة المفص,Faydat Al Mafass
728,1,عريدة,'urayyidah
729,1,الشعراء,Ash Sha'ara'
730,1,العازمية,Al 'azimiyah
731,1,المحوي,Al Mahawi
732,1,المدرع,Al Mudarri'
733,1,سرورة,Sururah
734,1,عصماء,Asma'
735,1,ام طليحة,Umm Tulayhah
736,1,مشرفة,Mushrifah
737,1,مساوي,Musawi
738,1,النقعة,An Niq'ah
739,1,افقرا,Afqirah
740,1,الرفاع,Ar Rufa'
741,1,الفقارة,Al Fuqarah
742,1,الودي,Al Wuday
743,1,الرفيعة,Ar Rufi'ah
744,1,الخبة,Al Khubbah
745,1,النبوان,An Nabuwan
746,1,الرديفة,Ar Rudifah
747,1,الرشاوية,Ar Rishawiyah
748,1,مطربة,Mutribah
749,1,المستجدة,Al Mustajiddah
750,1,العامرية,Al Amiriyah
751,1,الفيضة,Al Faydah
752,1,الظلماوي,Adh Dhalmawi
753,1,شبيرمة,Shubayrimah
754,1,عصام,Isam
755,1,عبادة,Abbadah
756,1,الحيد,Al Hayd
757,1,العبل,Al 'abal
758,1,ارطاوي الحماميد,Artawi Al Hamamid
759,1,بدائع ابن نجم,Badai' Ibn Najim
760,3,المرية,Al Marriyah
761,3,الشقران,Ash Shuqran
762,3,الكريزية,Al Kurayziyah
763,3,ذارة,Dharah
764,3,قصيباء,Qusayba
765,3,رحبة علوش,Rahbat 'allush
766,3,الكريزية,Al Kurayziyah
767,3,الرفائع,Ar Rafae'
